Frame,Time,Varsha_Hip,Varsha_Hip,Varsha_Hip,Varsha_Ab,Varsha_Ab,Varsha_Ab,Varsha_Chest,Varsha_Chest,Varsha_Chest,Varsha_Neck,Varsha_Neck,Varsha_Neck,Varsha_Head,Varsha_Head,Varsha_Head,Varsha_LShoulder,Varsha_LShoulder,Varsha_LShoulder,Varsha_LUArm,Varsha_LUArm,Varsha_LUArm,Varsha_LFArm,Varsha_LFArm,Varsha_LFArm,Varsha_LHand,Varsha_LHand,Varsha_LHand,Varsha_RShoulder,Varsha_RShoulder,Varsha_RShoulder,Varsha_RUArm,Varsha_RUArm,Varsha_RUArm,Varsha_RFArm,Varsha_RFArm,Varsha_RFArm,Varsha_RHand,Varsha_RHand,Varsha_RHand,Varsha_LThigh,Varsha_LThigh,Varsha_LThigh,Varsha_LShin,Varsha_LShin,Varsha_LShin,Varsha_LFoot,Varsha_LFoot,Varsha_LFoot,Varsha_RThigh,Varsha_RThigh,Varsha_RThigh,Varsha_RShin,Varsha_RShin,Varsha_RShin,Varsha_RFoot,Varsha_RFoot,Varsha_RFoot
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1684,14.033333,0.568243,0.834527,-0.451836,0.571423,0.908782,-0.455087,0.595044,1.118789,-0.451881,0.571646,1.340817,-0.456047,0.581245,1.490416,-0.468254,0.591379,1.313749,-0.418367,0.583478,1.336864,-0.285971,0.358747,1.127947,-0.305399,0.341995,1.266354,-0.388763,0.593541,1.312616,-0.490874,0.571252,1.31419,-0.623638,0.351696,1.100208,-0.600502,0.341622,1.265616,-0.495363,0.571457,0.838355,-0.361248,0.579512,0.48609,-0.34517,0.615844,0.06151,-0.327094,0.56503,0.830698,-0.542423,0.539006,0.480057,-0.570485,0.56289,0.054064,-0.569446
1685,14.066667,0.567891,0.834627,-0.451557,0.571037,0.908884,-0.454814,0.594496,1.118937,-0.451319,0.570921,1.340944,-0.455586,0.581254,1.490487,-0.466699,0.590448,1.313887,-0.417791,0.581036,1.336693,-0.28544,0.363825,1.12092,-0.313535,0.34519,1.265513,-0.394104,0.593055,1.31277,-0.490284,0.570044,1.314281,-0.622925,0.358644,1.093165,-0.592168,0.33967,1.249638,-0.486064,0.570939,0.838471,-0.360964,0.57898,0.486199,-0.345027,0.615844,0.06151,-0.327094,0.564844,0.830782,-0.54215,0.538977,0.480153,-0.570502,0.562772,0.054155,-0.56952
1686,14.1,0.567422,0.834524,-0.451071,0.570613,0.908778,-0.454352,0.594833,1.119406,-0.450884,0.568746,1.341126,-0.455429,0.579259,1.490375,-0.464868,0.588586,1.31434,-0.417604,0.580557,1.336695,-0.285085,0.372357,1.11107,-0.30163,0.344537,1.253045,-0.375406,0.591189,1.31316,-0.490096,0.570011,1.314075,-0.623048,0.366264,1.084757,-0.602358,0.344432,1.2444,-0.491307,0.570212,0.838407,-0.360472,0.578379,0.486129,-0.34476,0.615919,0.061487,-0.327102,0.564631,0.830641,-0.541671,0.538785,0.480055,-0.570578,0.562598,0.054058,-0.569566
1687,14.133333,0.567073,0.834573,-0.450225,0.570304,0.908824,-0.453544,0.595374,1.119385,-0.450781,0.567742,1.340925,-0.455003,0.576569,1.489989,-0.463348,0.587829,1.314229,-0.417244,0.581879,1.336407,-0.284585,0.376886,1.107277,-0.286921,0.346365,1.242083,-0.37519,0.590323,1.313158,-0.489741,0.571907,1.313722,-0.623105,0.369307,1.082911,-0.608707,0.346501,1.236625,-0.493018,0.569633,0.838512,-0.359621,0.577407,0.486213,-0.344156,0.616157,0.061656,-0.327078,0.564514,0.830635,-0.540829,0.538386,0.480141,-0.570586,0.562379,0.054154,-0.569648
1688,14.166667,0.566871,0.8347,-0.449041,0.570108,0.908947,-0.452451,0.595449,1.119445,-0.449744,0.567311,1.340917,-0.454192,0.574433,1.489958,-0.460848,0.587543,1.314316,-0.416444,0.583382,1.336285,-0.283683,0.387469,1.0998,-0.268829,0.342945,1.231395,-0.359691,0.589876,1.313156,-0.488945,0.573796,1.313308,-0.622613,0.37573,1.078203,-0.617764,0.347952,1.225968,-0.495114,0.569312,0.838756,-0.358439,0.575777,0.486429,-0.343007,0.616307,0.061991,-0.327171,0.56443,0.830645,-0.539643,0.537565,0.480292,-0.570387,0.56215,0.054338,-0.569727
1689,14.2,0.56668,0.834813,-0.447537,0.569975,0.909054,-0.450997,0.595761,1.119798,-0.447761,0.566913,1.341158,-0.453127,0.572942,1.490272,-0.458484,0.587379,1.314796,-0.415337,0.584215,1.33711,-0.282605,0.40307,1.090429,-0.253228,0.343696,1.218225,-0.340777,0.589425,1.313305,-0.487841,0.573507,1.313383,-0.621528,0.383889,1.071432,-0.627258,0.351181,1.21243,-0.497401,0.569027,0.838931,-0.356935,0.573222,0.486567,-0.34159,0.616735,0.062367,-0.327351,0.564332,0.830694,-0.538139,0.536271,0.480512,-0.569741,0.561965,0.054623,-0.569723
1690,14.233333,0.566284,0.834895,-0.445694,0.569797,0.909125,-0.449184,0.595782,1.120095,-0.446005,0.566199,1.341351,-0.451657,0.571242,1.490455,-0.455559,0.587001,1.315136,-0.413948,0.585131,1.337636,-0.281223,0.420885,1.081628,-0.236374,0.347175,1.204578,-0.319233,0.588566,1.313493,-0.486461,0.572067,1.314068,-0.620076,0.395604,1.062759,-0.635321,0.354671,1.194067,-0.498444,0.568625,0.839044,-0.355094,0.569618,0.48666,-0.339655,0.617057,0.062811,-0.327678,0.563944,0.830746,-0.536295,0.534764,0.480724,-0.568653,0.562186,0.054944,-0.569615
1691,14.266667,0.565563,0.834811,-0.443617,0.56947,0.909022,-0.447091,0.595635,1.120301,-0.444496,0.564902,1.341406,-0.449894,0.568681,1.490294,-0.452772,0.58617,1.315299,-0.412371,0.587227,1.337648,-0.279612,0.439684,1.074717,-0.219393,0.350364,1.192003,-0.292591,0.587095,1.313657,-0.484895,0.570963,1.314761,-0.618551,0.410137,1.053806,-0.64233,0.359032,1.17248,-0.499563,0.568007,0.838925,-0.353017,0.565246,0.486543,-0.337738,0.617048,0.063157,-0.327596,0.563119,0.830698,-0.534216,0.532198,0.480904,-0.567415,0.561733,0.05527,-0.569543
1692,14.3,0.564634,0.834666,-0.441486,0.569085,0.908854,-0.444813,0.596057,1.120356,-0.442565,0.563477,1.341201,-0.44779,0.565404,1.490006,-0.449743,0.585379,1.315299,-0.410489,0.590129,1.33721,-0.277738,0.459104,1.069216,-0.20331,0.354048,1.179106,-0.264526,0.585496,1.313601,-0.483017,0.570805,1.314299,-0.616843,0.4258,1.045084,-0.648853,0.368046,1.14989,-0.499406,0.567444,0.83856,-0.350888,0.560696,0.486221,-0.335879,0.616934,0.06337,-0.327166,0.561823,0.830773,-0.532085,0.527866,0.481281,-0.565493,0.5613,0.055947,-0.569409
