// Total Frames: 2656 
// Name  Frame  Time  x  y  z
// ===========================
RightHand 180 1.5 -3.554374 0.972789 -1.879561
RightHand 199 1.658333 -3.473577 1.008509 -1.680171
RightHand 201 1.675 -3.4669 1.008339 -1.659317
RightHand 203 1.691667 -3.458576 1.008197 -1.638597
RightHand 207 1.725 -3.445191 1.00564 -1.599253
RightHand 208 1.733333 -3.443382 1.004194 -1.58953
RightHand 209 1.741667 -3.439881 1.004007 -1.578303
RightHand 211 1.758333 -3.436352 1.001087 -1.559389
RightHand 213 1.775 -3.431453 0.998769 -1.538763
RightHand 215 1.791667 -3.427036 0.996249 -1.517208
RightHand 216 1.8 -3.427232 0.993522 -1.507965
RightHand 218 1.816667 -3.423439 0.989946 -1.485658
RightHand 219 1.825 -3.423172 0.987279 -1.476375
RightHand 220 1.833333 -3.422274 0.984646 -1.467126
RightHand 224 1.866667 -3.413246 0.977329 -1.430591
RightHand 225 1.875 -3.411523 0.975656 -1.42256
RightHand 226 1.883333 -3.410075 0.974101 -1.41412
RightHand 227 1.891667 -3.40683 0.973942 -1.403566
RightHand 228 1.9 -3.406009 0.972345 -1.39486
RightHand 232 1.933333 -3.398368 0.970708 -1.358634
RightHand 233 1.941667 -3.39731 0.969926 -1.35046
RightHand 234 1.95 -3.396183 0.969244 -1.341576
RightHand 240 2.0 -3.394645 0.965069 -1.287567
RightHand 248 2.066667 -3.394818 0.95989 -1.21698
RightHand 259 2.158333 -3.383776 0.951536 -1.124811
RightHand 413 3.441667 -2.436473 1.049738 -0.047006
RightHand 415 3.458333 -2.419631 1.052321 -0.038318
RightHand 426 3.55 -2.321465 1.06998 0.003076
RightHand 432 3.6 -2.265768 1.084483 0.018462
RightHand 433 3.608333 -2.257485 1.086617 0.020564
RightHand 434 3.616667 -2.249814 1.087979 0.022077
RightHand 435 3.625 -2.23969 1.091154 0.024568
RightHand 440 3.666667 -2.199872 1.100361 0.032358
RightHand 441 3.675 -2.190548 1.101881 0.033117
RightHand 442 3.683333 -2.183136 1.104226 0.034666
RightHand 443 3.691667 -2.174695 1.105999 0.035612
RightHand 444 3.7 -2.165406 1.106799 0.03739
RightHand 446 3.716667 -2.149143 1.109572 0.039691
RightHand 447 3.725 -2.14125 1.110854 0.04069
RightHand 449 3.741667 -2.126261 1.113084 0.04285
RightHand 450 3.75 -2.119073 1.114122 0.043695
RightHand 451 3.758333 -2.111239 1.115183 0.044723
RightHand 452 3.766667 -2.10415 1.115906 0.045304
RightHand 456 3.8 -2.073906 1.119203 0.048956
RightHand 458 3.816667 -2.060617 1.119287 0.050125
RightHand 459 3.825 -2.05353 1.119334 0.050965
RightHand 460 3.833333 -2.046469 1.119221 0.05165
RightHand 461 3.841667 -2.039153 1.118781 0.052298
RightHand 462 3.85 -2.03327 1.11897 0.052515
RightHand 463 3.858333 -2.025173 1.117444 0.053578
RightHand 464 3.866667 -2.017604 1.117484 0.054554
RightHand 465 3.875 -2.011198 1.116439 0.055021
RightHand 467 3.891667 -1.997398 1.114668 0.056191
RightHand 468 3.9 -1.990573 1.113785 0.056858
RightHand 469 3.908333 -1.983052 1.112733 0.057474
RightHand 470 3.916667 -1.976652 1.11213 0.057709
RightHand 471 3.925 -1.969168 1.110983 0.058212
RightHand 472 3.933333 -1.962044 1.110047 0.059277
RightHand 473 3.941667 -1.955251 1.109329 0.05933
RightHand 474 3.95 -1.948467 1.10779 0.059567
RightHand 475 3.958333 -1.940638 1.107196 0.059931
RightHand 476 3.966667 -1.932997 1.105205 0.060964
RightHand 477 3.975 -1.927085 1.103953 0.060148
RightHand 478 3.983333 -1.920048 1.102757 0.060953
RightHand 479 3.991667 -1.912887 1.102019 0.061024
RightHand 480 4.0 -1.905903 1.100649 0.061213
RightHand 481 4.008333 -1.897573 1.099075 0.061607
RightHand 482 4.016667 -1.890316 1.097679 0.061671
RightHand 483 4.025 -1.883748 1.097154 0.061151
RightHand 484 4.033333 -1.876201 1.096283 0.061874
RightHand 485 4.041667 -1.868322 1.096577 0.062045
RightHand 486 4.05 -1.860102 1.094315 0.062904
RightHand 487 4.058333 -1.852524 1.09365 0.063122
RightHand 488 4.066667 -1.84458 1.094429 0.062609
RightHand 489 4.075 -1.837848 1.093174 0.064345
RightHand 490 4.083333 -1.829101 1.093729 0.064372
RightHand 491 4.091667 -1.822809 1.093133 0.065095
RightHand 492 4.1 -1.815289 1.092698 0.065419
RightHand 493 4.108333 -1.807444 1.092668 0.066341
RightHand 494 4.116667 -1.799291 1.092833 0.068068
RightHand 495 4.125 -1.793335 1.091315 0.067088
RightHand 496 4.133333 -1.78722 1.091731 0.06702
RightHand 497 4.141667 -1.779477 1.09113 0.067637
RightHand 498 4.15 -1.772871 1.091669 0.068432
RightHand 499 4.158333 -1.766499 1.091023 0.068
RightHand 501 4.175 -1.752972 1.092534 0.069766
RightHand 502 4.183333 -1.747141 1.092045 0.069838
RightHand 503 4.191667 -1.741264 1.092358 0.069751
RightHand 504 4.2 -1.735525 1.0925 0.069941
RightHand 505 4.208333 -1.729286 1.093038 0.070472
RightHand 506 4.216667 -1.723658 1.093036 0.070275
RightHand 507 4.225 -1.718253 1.0933 0.070385
RightHand 508 4.233333 -1.712874 1.093065 0.070217
RightHand 509 4.241667 -1.707246 1.09307 0.070151
RightHand 510 4.25 -1.701765 1.093175 0.069937
RightHand 511 4.258333 -1.696453 1.093254 0.069806
RightHand 512 4.266667 -1.691195 1.093457 0.069565
RightHand 513 4.275 -1.686329 1.094317 0.06927
RightHand 514 4.283333 -1.680392 1.094098 0.068768
RightHand 515 4.291667 -1.675056 1.094181 0.067972
RightHand 518 4.316667 -1.659079 1.0948 0.065169
RightHand 519 4.325 -1.653479 1.096346 0.063718
RightHand 521 4.341667 -1.641464 1.096121 0.062137
RightHand 526 4.383333 -1.606846 1.102715 0.058636
RightHand 532 4.433333 -1.553948 1.117248 0.053916
RightHand 536 4.466667 -1.508303 1.133915 0.051077
RightHand 537 4.475 -1.495718 1.138634 0.050057
RightHand 538 4.483333 -1.481897 1.144887 0.049969
RightHand 539 4.491667 -1.467739 1.149361 0.048247
RightHand 540 4.5 -1.452756 1.155073 0.047385
RightHand 541 4.508333 -1.437739 1.160495 0.045858
RightHand 542 4.516667 -1.420728 1.166413 0.044713
RightHand 543 4.525 -1.404213 1.172596 0.043256
RightHand 544 4.533333 -1.385182 1.178141 0.041148
RightHand 545 4.541667 -1.365932 1.183792 0.038831
RightHand 546 4.55 -1.347184 1.189105 0.036195
RightHand 547 4.558333 -1.32557 1.193808 0.033967
RightHand 548 4.566667 -1.303064 1.199322 0.030454
RightHand 549 4.575 -1.28097 1.203351 0.026398
RightHand 550 4.583333 -1.256385 1.208878 0.023506
